job_category,n_growth_years,average_real_wage_growth,real_wage_2015,real_wage_2024,decade_real_wage_change
金屬製造及表面處理設備操作人員,9,0.9739957206840548,25348.000846202667,27106.109324758843,6.935886144329029
事務支援人員,9,0.9653318912277399,26772.794584302945,29154.093494929508,8.894472719791203
一般及文書事務員,9,0.9630374318016203,25997.461392003384,28284.071234232004,8.795512022308305
化學及照相產品機械操作人員,9,0.9465493595946592,25540.51195261265,27537.410338857284,7.818552697571746
成衣及有關工作人員,9,0.9373923357444047,24587.47620055003,25910.52436309671,5.38098400891216
服務及銷售工作人員,9,0.9199594792710438,26199.49227840068,28352.70838486273,8.218541350273401
資訊及通訊技術員,9,0.907702327708474,30089.909033213455,32070.24486767252,6.581395218819575
手工藝工作人員,9,0.9066491849078313,27013.962343981388,28326.737571110563,4.8596174467595565
電子設備裝修人員,9,0.8817193006269437,27320.710810239052,29071.54340836013,6.408444532361557
個人照顧工作人員,9,0.8100547238915342,27756.505182991328,29060.413059609204,4.697665891370528
營養師,9,0.8061952438283424,32981.80664269093,34120.08409596834,3.451228325994893
製程控制技術員,9,0.8026780532750867,29836.04823355194,31437.670046994805,5.368076230825269
銷售及展示工作人員,9,0.799130155142432,25469.64247937381,27252.658916646054,7.000555420894461
電力設備裝修人員,9,0.7455264191964108,28492.70150200973,29574.264160277024,3.7959287861524915
人事事務人員,9,0.6724616669757556,28853.395388195473,30491.590403165963,5.677650733752837
採購員,9,0.6030593530832166,30917.07213877724,32313.25748206777,4.515904148437744
法律及有關助理專業人員,9,0.6019660128003564,32441.294690078274,33212.033143705165,2.375794372542761
駕駛及有關工作人員,9,0.5936707652596684,33609.05436852126,35210.85827355924,4.76598921074749
顧客資訊事務人員,9,0.5803533884089076,26867.99238417601,28240.47736829087,5.108252840369243
紡織品、毛皮及皮革製品機械操作人員,9,0.562989524835363,24833.93272688809,25942.987880286917,4.465886114759554
其他企業支援服務代理人,9,0.48177749571153045,31168.81743177491,30824.573336631216,-1.104450292017678
餐飲服務人員,9,0.4144484261430549,27004.44256399408,27709.93074449666,2.612489329601031
護理及助產專業人員,9,0.3657084023075444,36352.866511529515,37185.567647786294,2.290606535780837
機械維修人員,9,0.36510246306345784,28740.21578167972,29223.658174622808,1.6821112152235695
行政及商業經理人員,9,0.2901196727392096,60298.28643960229,56833.41578036112,-5.746217452981439
環境及職業衛生技術員,9,0.26425727620720174,31143.43135180876,31370.88795448924,0.730351771810378
生產、運輸及有關事務人員,9,0.23106441026077154,28941.18891474508,29351.65718525847,1.4182840647029016
心理學專業人員,9,-0.1397653068333633,41362.38629151682,36679.1367796191,-11.322483859830468
作家、新聞記者及語言學專業人員,9,-0.22600354850841725,31055.637825259153,28796.06727677467,-7.275878734799834
資料庫及網路專業人員,9,-0.25236395954691837,44143.21980114238,42362.10734603018,-4.0348494358495195
生產及專業服務經理人員,9,-0.25723953102547337,62394.753543473664,59541.80064308682,-4.572424343977966
專業秘書,9,-0.28603187688364134,33288.555108948596,30662.255750680182,-7.8894964040130855
其他工程專業人員,9,-0.3404470241065443,45447.42965940343,43156.07222359634,-5.041775636112334
旅運服務及有關工作人員,9,-0.858892179559095,33998.30759466893,30217.041800643085,-11.121923594275508
高階主管及總執行長,9,-1.091573610275896,150139.62343981385,69730.7073954984,-53.556092790221236
辦公室監督人員,9,-1.30008383319363,45279.24687962767,39133.37867919861,-13.573256235395226
未分類其他技藝有關工作人員,9,-1.5259980656093228,32334.461603554053,26877.937175364827,-16.87525988553794
